NO.,NAMA VIHARA,MANDARIN,GPS,,,ALAMAT,ref_code
52,CETIYA JIN FUK KUI THONG,引福歸堂(高杯山),N 00º,51' 46,"66""",Jl. Tanjung Batu Dalam (Kopisan) Gg. Bugis,
,KOPISAN,Yin Fu Gui Tang (Gao Bei Shan),E 108º,58' 12,"15""",RT 15/03 Kelurahan Sedau,
53,VIHARA BUMI RAYA THAI PAK KUNG,大伯公廟(高杯山),N 00º,52' 23,"99""",Jl. Tanjung Batu Dalam,
,KOPISAN,Da Bo Gong Miao (Gao Bei Shan),E 108º,57' 58,"05""",RT 11/03 Kelurahan Sedau,
54,VIHARA CUNG NGO THONG,忠峩堂(高杯山),N 00º,52' 26,"93""",Jl. Tanjung Batu Dalam (Kopisan),
,KOPISAN,Zhong E Tang (Gao Bei Shan),E 108º,57' 57,"10""",RT 11/03 Kelurahan Sedau,
55,CETIYA THAI PAK KUNG KUNG,大伯公公壇(高杯山),N 00º,52' 36,"69""",Jl. Suka Ramai (Kopisan),
,KOPISAN,Da Bo Gong Gong Tan (Gao Bei Shan),E 108º,58' 28,"81""",RT 12/03 Kelurahan Sedau,
56,CETIYA KHOI SAN THI CU PAK KUNG,開山地主大伯公壇(高杯山),N 00º,52' 22,"91""",Jl. Suka Maju (Kopisan),
,KOPISAN,Kai Shan Di Zhu Da Bo Gong Miao (Gao Bei Shan),E 108º,58' 09,"50""",RT 12/03 Kelurahan Sedau,
57,VIHARA FAB LIN KIUNG,法靈宮(高杯山),N 00º,52' 59,"84""",Jl. Tanjung Batu Dalam (Kopisan),
,KOPISAN,Fa Ling Gong (Gao Bei Shan),E 108º,57' 53,"19""",RT 04/01 Kelurahan Sedau,
58,CETIYA LU SAN PAK KUNG,廬山廟(高杯山),N 00º,53' 06,"03""",Jl. Sosial Gg. Sosial 4,
,KOPISAN,Lu Shan Miao (Gao Bei Shan),E 108º,57' 32,"32""",RT 03/01 Kelurahan Sedau,
59,CETIYA FA NGOK KIUNG,華嶽宮(高杯山),N 00º,53' 00,"16""",Jl. Sosial Gg. Sosial 4,
,KOPISAN,Hua Yue Gong (Gao Bei Shan),E 108º,57' 37,"91""",RT 03/01 Kelurahan Sedau,
60,VIHARA KUANG YAO FO DANG,廣耀佛堂(高杯山),N 00º,53' 10,"08""",Jl. Sosial Gg. Sosial 4,
,KOPISAN,Guang Yao Fo Tang (Gao Bei Shan),E 108º,57' 38,"58""",RT 03/01 Kelurahan Sedau,
61,VIHARA CHIANG SAN MIAU,青山廟(高杯山),N 00º,53' 09,"79""",Jl. Sosial Gg. Sosial 3,
,KOPISAN,Qing Shan Miao (Gao Bei Shan),E 108º,57' 35,"29""",RT 03/01 Kelurahan Sedau,
62,VIHARA FAB SHI KUNG KUNG,法師公公廟(高杯山),N 00º,53' 16,"41""",Jl. Sosial (Karang Intan),
,KOPISAN,Fa Shi Gong Gong Miao (Gao Bei Shan),E 108º,57' 39,"70""",RT 03/01 Kelurahan Sedau,
63,VIHARA THAI JIM THAI JONG SEN KIUN,日月宮/太陰太陽星軍 (石角),N 00º,53' 21,"92""",Jl. Karang Intan Gg. Kopisan,14
