name_indo,name_hanzi,name_pinyin,neighbourhood,gps_lat,gps_lon,address,ref_no,region,id
VIHARA SAM SHIN KIUNG,三聖宮(亜答港),San Sheng Gong (Ya Da Gang),SEDAU,0.8652777777777777,108.92888888888889,"Jl. Raya Pasar Sedau, RT 36/06 Kelurahan Sedau",25,south,s16
VIHARA TRIDHARMA BUMI RAYA,石狮大伯公廟(鹽町),Shi Shi Da Bo Gong Miao (Yan Ting),JALAN RAYA SEDAU,0.8702777777777778,108.93611111111112,"Jl. Raya Sedau, RT 30/06 Kelurahan Sedau",10,south,s17
VIHARA THAI PAK KUNG KUNG,大伯公公(鹽町),Da Bo Gong Gong (Yan Ting),KALIASIN LUAR,0.8711111111111112,108.94250000000001,"Jl. Pasar Kaliasin, RT 23/04 Kelurahan Sedau",,south,s18
VIHARA KON TI KIUNG,關帝宮(鹽町),Guan Di Gong (Yan Ting),KALIASIN,0.8708333333333333,108.94166666666668,"Jl. Kaliasin Dalam, RT 29/05 Kelurahan Sedau",,south,s19
CETIYA CHIANG FA THAI CI MIAU,青华太子廟(鹽町肚),Qing Hua Tai Zi Miao (Yan Ting Du),KALIASIN DALAM,0.86,108.94333333333334,"Jl. Kaliasin Dalam Gg. Naca, RT 02/01 Kelurahan Sedau",,south,s20
VIHARA THAI PAK KUNG,大伯公廟(鹽町肚),Da Bo Gong Miao (Yan Ting Du),KALIASIN DALAM,0.861111111111111,108.94472222222223,"Jl. Kaliasin Dalam, RT 25/05 Kelurahan Sedau",,south,s21
VIHARA NACA HANG KIUNG (THAI CI SAN),哪吒行宮(鹽町肚-太子山),Na Zha Hang Gong (Yan Ting Du-Tai Zi Shan),KALIASIN DALAM,0.8622222222222222,108.94916666666667,"Jl. Kaliasin Dalam Gg. Kelenteng Naca, RT 26/05 Kelurahan Sedau",,south,s22
CETIYA SAM KON MIAU,三官廟(鹽町肚),San Guan Miao (Yan Ting Du),KALIASIN DALAM,0.855,108.95444444444445,"Jl. Kaliasin Dalam Gg. Durian, RT 26/05 Kelurahan Sedau",,south,s23
VIHARA THIAN LIN FAB KIUNG,天靈法宮(鹽町肚),Tian Ling Fa Gong (Yan Ting Du),(JONG THAI PAK KUNG) KALIASIN DALAM,0.8577777777777778,108.94777777777779,"Jl. Kaliasin Dalam, RT 26/05 Kelurahan Sedau",,south,s24
VIHARA SI FONG PAK KUNG,西方伯公廟(鹽町肚),Xi Fang Bo Gong Miao (Yan Ting Du),KALIASIN DALAM,0.8572222222222222,108.94777777777779,"Jl. Kaliasin Dalam, RT 26/05 Kelurahan Sedau",,south,s25
VIHARA FUK NUNG KIUNG / SUI KHEU PAK KUNG,福農宮/水口伯公(鹽町肚),Fu Nong Gong / Shui Kou Bo Gong (Yan Ting Du),KALIASIN DALAM,0.855,108.94611111111111,"Jl. Kaliasin Dalam, RT 27/05 Kelurahan Sedau",,south,s26
CETIYA FAB MIN KIUNG,法民宮(鹽町肚),Fa Min Gong (Yan Ting Du),KALIASIN DALAM,0.8533333333333333,108.94583333333334,"Jl. Kaliasin Dalam, RT 27/05 Kelurahan Sedau",,south,s27
VIHARA KON JIM MIAU,觀音廟(鹽町肚),Guan Yin Miao (Yan Ting Du),KALIASIN DALAM,0.8477777777777779,108.9575,"Jl. Kaliasin Dalam Gg. Sip Si Sha Thon, RT 27/05 Kelurahan Sedau",,south,s28
CETIYA SAM CHIN KIUNG,三清宮(鹽町肚),San Qing Gong (Yan Ting Du),KALIASIN DALAM,0.8480555555555556,108.94500000000001,"Jl. Kaliasin Dalam Gg. Cetya, RT 28/05 Kelurahan Sedau",,south,s29
CETIYA FUK HIN THONG,福興堂(鹽町肚),Fu Xing Tang (Yan Ting Du),KALIASIN DALAM,0.8416666666666667,108.95166666666667,"Jl. Kaliasin Dalam, RT 29/05 Kelurahan Sedau",,south,s30
CETIYA HIAN BONG MIAU,玄黄廟(鹽町肚-港尾),Xian Huang Miao (Yan Ting Du-Gang Wei),KONGMUI - KALIASIN DALAM,0.8377777777777778,108.95333333333333,"Jl. Kong Mui Kaliasin Dalam Gg. CHJ, RT 29/05 Kelurahan Sedau",,south,s31
CETIYA KHIAN NYIAN KIUNG,乾元宮(鹽町肚-港尾),Qian Yuan Gong (Yan Ting Du-Gang Wei),KONGMUI - KALIASIN DALAM,0.8327777777777777,108.95055555555555,"Jl. Kong Mui Kaliasin Dalam, RT 29/05 Kelurahan Sedau",,south,s32
VIHARA KON TI KIUNG,關帝宮(鹽町肚-港尾),Guan Di Gong (Yan Ting Du-Gang Wei),KONGMUI - KALIASIN DALAM,0.8280555555555555,108.94805555555556,"Jl. Kong Mui Kaliasin Dalam, RT 29/05 Kelurahan Sedau",,south,s33
CETIYA TRIDHARMA BUMI RAYA KONG MUI,福德宮/大伯公(鹽町肚-港尾),Fu De Gong / Da Bo Gong (Yan Ting Du-Gang Wei),KONGMUI - KALIASIN DALAM,0.8211111111111111,108.94055555555556,"Jl. Kong Mui Kaliasin Dalam, RT 29/05 Kelurahan Sedau",,south,s34
CETIYA FUK TET KIUNG,福德宮(茅屋肚),Fu De Gong (Mao Wu Du),PADANG PASIR (MIONG BUK TU),0.8702777777777778,108.95222222222222,"Jl. Budi Agung (Saliung) Kelurahan Sedau, Pemakaman Abadi Miong Buk Tu",,south,s35
CETIYA THAI PAK KUNG KUNG,大伯公壇(茅屋肚),Da Bo Gong Tan (Mao Wu Du),PADANG PASIR (MIONG BUK TU),0.8694444444444445,108.95027777777779,"Jl. Budi Agung (Saliung) Gg. Ciu Long, RT 18/04 Kelurahan Sedau",,south,s36
CETIYA PO ON THAN,保安壇(茅屋肚),Bao An Tan (Mao Wu Du),PADANG PASIR (MIONG BUK TU),0.8736111111111111,108.95027777777779,"Jl. Budi Agung (Saliung), RT 18/04 Kelurahan Sedau",,south,s37
CETIYA PO SAN LO MU,寳山老母壇(茅屋肚),Bao Shan Lao Mu Tan (Mao Wu Du),PADANG PASIR (MIONG BUK TU),0.8686111111111111,108.95222222222222,"Jl. Budi Agung (Saliung), RT 18/04 Kelurahan Sedau",,south,s38
