name_indo,name_hanzi,name_pinyin,neighbourhood,gps_lat,gps_lon,address
VIHARA BUMI RAYA THAI PAK KUNG,大伯公廟(高杯山),Da Bo Gong Miao (Gao Bei Shan),KOPISAN,0.8733305555555556,108.966125,"Jl. Tanjung Batu Dalam, RT 11/03 Kelurahan Sedau"
VIHARA CUNG NGO THONG,忠峩堂(高杯山),Zhong E Tang (Gao Bei Shan),KOPISAN,0.8741472222222223,108.96586111111111,"Jl. Tanjung Batu Dalam (Kopisan), RT 11/03 Kelurahan Sedau"
CETIYA THAI PAK KUNG KUNG,大伯公公坛(高杯山),Da Bo Gong Gong Tan (Gao Bei Shan),KOPISAN,0.8768583333333334,108.97466944444444,"Jl. Suka Ramai (Kopisan), RT 12/03 Kelurahan Sedau"
CETIYA KHOI SAN THI CU PAK KUNG,开山地主大伯公坛(高杯山),Kai Shan Di Zhu Da Bo Gong Miao (Gao Bei Shan),KOPISAN,0.8730305555555555,108.96930555555556,"Jl. Suka Maju (Kopisan), RT 12/03 Kelurahan Sedau"
VIHARA FAB LIN KIUNG,法灵宮(高杯山),Fa Ling Gong (Gao Bei Shan),KOPISAN,0.8832888888888889,108.964775,"Jl. Tanjung Batu Dalam (Kopisan), RT 04/01 Kelurahan Sedau"
CETIYA LU SAN PAK KUNG,庐山庙(高杯山),Lu Shan Miao (Gao Bei Shan),KOPISAN,0.8850083333333333,108.95897777777778,"Jl. Sosial Gg. Sosial 4, RT 03/01 Kelurahan Sedau"
CETIYA FA NGOK KIUNG,华嶽宮(高杯山),Hua Yue Gong (Gao Bei Shan),KOPISAN,0.8833777777777777,108.96053055555556,"Jl. Sosial Gg. Sosial 4, RT 03/01 Kelurahan Sedau"
VIHARA KUANG YAO FO DANG,广耀佛堂(高杯山),Guang Yao Fo Tang (Gao Bei Shan),KOPISAN,0.8861333333333333,108.96071666666667,"Jl. Sosial Gg. Sosial 4, RT 03/01 Kelurahan Sedau"
VIHARA CHIANG SAN MIAU,青山廟(高杯山),Qing Shan Miao (Gao Bei Shan),KOPISAN,0.8860527777777778,108.95980277777778,"Jl. Sosial Gg. Sosial 3, RT 03/01 Kelurahan Sedau"
VIHARA FAB SHI KUNG KUNG,法师公公廟(高杯山),Fa Shi Gong Gong Miao (Gao Bei Shan),KOPISAN,0.8878916666666666,108.96102777777779,"Jl. Sosial (Karang Intan), RT 03/01 Kelurahan Sedau"
VIHARA THAI JIM THAI JONG SEN KIUN,太阴太阳星军/日月宮(石角),Tai Yin Tai Yang Xing Jun / Ri Yue Gong (Shi Jiao),TANJUNG BATU (SAKKOK),0.8894222222222222,108.96178611111111,"Jl. Karang Intan Gg. Kopisan, RT  07/02 Kelurahan Sedau"
VIHARA SUI KHEU PAK KUNG,水口伯公廟(石角),Shui Kou Bo Gong Miao (Shi Jiao),TANJUNG BATU (SAKKOK),0.8912027777777778,108.96133888888889,"Jl. Raya Tanjung Batu Gg. Sejati, RT 07/02 Kelurahan Sedau"
VIHARA THAI CU SHIN TI,太祖圣帝宮(石角),Tai Zu Sheng Di Gong (Shi Jiao),TANJUNG BATU (SAKKOK),0.8908611111111111,108.96343611111111,"Jl. Raya Tanjung Batu Gg. Daya, RT 01/01 Kelurahan Sedau"
VIHARA SAM THIAN THAI CI,三天太子廟(石角),San Tian Tai Zi Miao (Shi Jiao),TANJUNG BATU (SAKKOK),0.8908388888888888,108.96326944444445,"Jl. Raya Tanjung Batu Gg. Daya, RT 01/01 Kelurahan Sedau"
VIHARA TRIDHARMA BUMI RAYA,大伯公廟(石角),Da Bo Gong Miao (Shi Jiao),TANJUNG BATU (SAKKOK),0.8918583333333333,108.96310555555556,"Jl. Tanjung Batu Harapan, RT 04/01 Kelurahan Sedau"
VIHARA SURGA NERAKA / SAN THONG,善堂(三吧叻-霸狮山),Shan Tang (San Ba Le-Ba Shi Shan),SEMPALIT-GUNUNG PASI,0.8399222222222222,108.98833055555555,"Jl. Sagatani Simajat Gg. Pasqua, RT 23/05 Kelurahan Sijangkung"
CETIYA FA SAN KIUNG,华山宮(三吧叻-霸狮山,Hua Shan Gong (San Ba Le-Ba Shi Shan),SEMPALIT-GUNUNG PASI,0.8335,108.98857222222222,"Jl. Sagatani Simajat Gg. Pasqua, RT 23/05 Kelurahan Sijangkung"
VIHARA FUK TET FA NGOK KIUNG,福德华岳宮(三吧叻),Fu De Hua Yue Gong (San Ba Le),SEMPALIT,0.8333916666666668,108.98156666666667,"Jl. Sagatani Simajat, RT 23/05 Kelurahan Sijangkung"
VIHARA SHUI KHEU PAK KUNG,水口伯公廟(三吧叻),Shui Kou Bo Gong Miao (San Ba Le),SEMPALIT,0.8354277777777778,108.97903333333333,"Jl. Sagatani Simajat, RT 22/05 Kelurahan Sijangkung"
CETIYA LIN SAN NG FUK THAN,灵山五福坛(巴古喃),Ling Shan Wu Fu Tan (Ba Gu Nan),PAKUNAM,0.8477194444444445,108.97465277777778,"Jl. Bougenville, RT 21/04 Kelurahan Sijangkung"
VIHARA HIAN THIAN KIUNG,玄天宮(巴古喃),Xian Tian Gong (Ba Gu Nan),PAKUNAM,0.8516583333333333,108.97336666666666,"Jl. Sagatani Pakunam Gg. Pepaya, RT 19/04 Kelurahan Sijangkung"
VIHARA SAK BONG MIAU / SAK KU THAI BONG,石王廟/石古大王(巴古喃),Shi Wang Miao / Shi Gu Da Wang (Ba Gu Nan),PAKUNAM,0.8584944444444444,108.98495277777778,"Jl. Raya Sagatani, Pakunam, RT 10/02 Kelurahan Sijangkung"
CETIYA NYI BU SIAN SHI,二武仙师坛(新喃),Er Wu Xian Shi Tan (Xin Nan),SINNAM,0.8628166666666667,108.98829444444445,"Jl. Raya Sagatani Gg. Teratai Baru, Sinnam, RT 10/02 Kelurahan Sijangkung"
CETIYA SAK BONG CHIAN SOI,石王千岁坛(新喃),Shi Wang Qian Sui Tan (Xin Nan),SINNAM,0.8619,108.99051111111112,"Jl. Raya Sagatani, Sinnam, RT 14/03 Kelurahan Sijangkung"
