NO.,NAMA VIHARA,MANDARIN,GPS,,,ALAMAT,ref_code
34,VIHARA NAM TEU SEN KIUN,南斗星君廟(頭條港),N 00º,55' 25,"08""",Jl. Tani Gg. Setia Negara,
,SEI. WIE,Nan Dou Xing Jun Miao (Tou Tiao Gang),E 108º,59' 21,"46""",RT 03/01 Kelurahan Sei. Wie,
35,CETIYA SAM THAI THIAN BONG,三大天王壇(頭條港) ,N 00º,55' 21,"05""",Jl. Cempaka,
,SEI. WIE,San Da Tian Wang Tan (Tou Tiao Gang),E 108º,59' 23,"23""",RT 03/01 Kelurahan Sei. Wie,
36,CETIYA THAI PAK KUNG KUNG,大伯公公壇(頭條港),N 00º,55' 35,"80""",Jl. Cempaka,
,SEI. WIE,Da Bo Gong Gong Tan (Tou Tiao Gang),E 108º,59' 28,"97""",RT 03/01 Kelurahan Sei. Wie,
37, VIHARA SAM CHIN MIAU / FAB ZHU KUNG , 三清庙/法主公(莲堂路) , N  00°  , 54' 06 ," 49"" ", Jl. P. Natuna Gg. Sinar No.81 ,
, JL. P. NATUNA ,   San Qing Miao / Fa Zhu Gong (Lian Tang Lu) , E 108°  , 59' 30 ," 44"" ", RT 14.06 Kelurahan Pasiran ,
38, CETIYA KON JIM FUT MU , 观音佛母坛(莲堂路) , N  00°  , 54' 22 ," 57"" ", Jl. Pasar Turi  ,
, JL. P. NATUNA ,   Guan Yin Fo Mu Tan (Lian Tang Lu) , E 108°  , 59' 32 ," 52"" ", RT 08/04 Kelurahan Pasiran ,
39, CETIYA SIAN KIUNG MIAU FAB , 仙宮妙法(井斗厂) , N  00°  , 53' 50 ," 62"" ", Jl. P. Natuna ,
, JL. P. NATUNA ,   Xian Gong Miao Fa (Jing Dou Chang) , E 108°  , 59' 19 ," 79"" ", RT 21/08 Kelurahan Pasiran ,
40, CETIYA CONG THIAN SHI  , 張天师庙(公司山) , N  00°  , 54' 00 ," 24"" ", Jl. P. Natuna Gg. Sukses ,
, JL. P. NATUNA ,   Zhang Tian Shi Miao (Gong Si Shan) , E 108°  , 59' 41 ," 19"" ", RT 16/06 Kelurahan Pasiran ,
41, CETIYA FAB SHI MIAU , 法师庙(公司山) , N  00°  , 53' 59 ," 68"" ", Jl. P. Natuna Gg. Sukses ,
, JL. P. NATUNA ,   Fa Shi Miao (Gong Si Shan) , E 108°  , 59' 40 ," 99"" ", RT 16/06 Kelurahan Pasiran ,
42, VIHARA METTA KARUNA DHARMA SUCI , 法妙坛(公司山) , N  00°  , 54' 00 ," 49"" ", Jl. P. Natuna Gg. Sukses ,
, JL. P. NATUNA ,   Fa Miao Tan (Gong Si Shan) , E 108°  , 59' 39 ," 56"" ", RT 16/06 Kelurahan Pasiran ,
43, CETIYA HO SAN FUT FAB KI KIUN THONG , 和善佛法济君坛(公司山) , N  00°  , 54' 00 ," 86"" ", Jl. P. Natuna ,
, JL. P. NATUNA ,   He Shan Fo Fa Ji Jun Tan (Gong Si Shan) , E 108°  , 59' 46 ," 09"" ", RT 16/06 Kelurahan Pasiran ,
44, CETIYA THU THI PAK KUNG , 土地伯公坛(公司山) , N  00°  , 53' 45 ," 54"" ", Jl. P. Natuna ,
, JL. P. NATUNA ,   Tu Di Bo Gong Tan (Gong Si Shan) , E 108°  , 59' 37 ," 99"" ", RT 24/10 Kelurahan Pasiran ,
45, VIHARA LIAN THONG SHUI KHEU PAK KUNG , 水口伯公庙(芒桔头) , N  00°  , 53' 44 ," 38"" ", Jl. P. Natuna ,
, KAMPUNG MANGGIS ,   Shui Kou Bo Gong (Mang Jie Tou) , E 108°  , 59' 45 ," 62"" ", RT 24/10 Kelurahan Pasiran ,
46, CETIYA NG FU MIAU , 五虎庙(芒桔头) , N  00°  , 53' 44 ," 06"" ", Jl. P. Natuna ,
, KAMPUNG MANGGIS ,   Wu Hu Miao (Mang Jie Tou) , E 108°  , 59' 45 ," 30"" ", RT 24/10 Kelurahan Pasiran ,
47, CETIYA SAM CHIN KIUNG , 三清宮(芒桔头) , N  00°  , 53' 41 ," 35"" ", Jl. P. Natuna ,
, KAMPUNG MANGGIS ,   Shan Qing Gong (Mang Jie Tou) , E 108°  , 59' 43 ," 92"" ", RT 24/10 Kelurahan Pasiran ,
48, CETIYA THAI PAK KUNG KUNG , 大伯公公庙 , N  00°  , 53' 29 ," 92"" ", Jl. P. Natuna ,
, KAWASAN PEMAKAMAN NYI BU SAN ,   Da Bo Gong Gong Miao , E 108°  , 59' 42 ," 09"" ", RT 24/10 Kelurahan Pasiran ,
49, CETIYA MU JAN PAK KONG , 墓园伯公庙 , N  00°  , 53' 36 ," 37"" ", Jl. P. Natuna ,
, KAWASAN PEMAKAMAN NYI BU SAN ,   Mu Yuan Bo Gong Miao , E 108°  , 59' 42 ," 41"" ", RT 24/10 Kelurahan Pasiran ,
50, VIHARA MU PUN THO THONG , 务本道堂(志师坛) , N  00°  , 53' 24 ," 55"" ", Jl. Kridasana Gg. 70 No.32 ,
, JL. BURHANI ,   Mu Ben Dao Tang (Zhi Shi Tan) , E 108°  , 59' 18 ," 61"" ", RT 26/10 Kelurahan Pasiran ,
51, CETIYA CHIP TET KIUNG , 集德宮(志师坛) , N  00°  , 53' 27 ," 33"" ", Jl. Kridasana Gg. Tujuh Puluh ,
, JL. BURHANI ,   Ji De Gong (Zhi Shi Tan) , E 108°  , 59' 22 ," 89"" ", RT 24/10 Kelurahan Pasiran ,
52, CETIYA SAM CHIN KIUNG , 三清宮(志师坛) , N  00°  , 53' 26 ," 94"" ", Jl. Kridasana Gg. Tujuh Puluh ,
, JL. BURHANI ,   Shan Qing Gong (Zhi Shi Tan) , E 108°  , 59' 32 ," 95"" ", RT 24/10 Kelurahan Pasiran ,
53, CETIYA THAI PAK KUNG , 大伯公庙(志师坛) , N  00°  , 53' 26 ," 93"" ", Jl. Kridasana Gg. Tujuh Puluh ,
, JL. BURHANI ,   Da Bo Gong Miao (Zhi Shi Tan) , E 108°  , 59' 32 ," 71"" ", RT 24/10 Kelurahan Pasiran ,
54, CETIYA LIUK LIUK KONG SEN , 六六罡星(志师坛) , N  00°  , 53' 30 ," 25"" ", Jl. Kridasana Gg. Tujuh Puluh ,
