name_indo,name_hanzi,name_pinyin,road,gps_lat,gps_lon,address,ref_no,id,num_images,region,,,,,,,,,,,
CETIYA THAI PAK KUNG / SE PAK KUNG,大伯公壇(小伯公),Da Bo Gong Tan,Jl. SAMA-SAMA,0.905555556,108.9908333,"Jl. Sama-sama, RT 09/05 Kelurahan Pasiran",17,w11,6,Barat (West),,,,,,,,,,,
VIHARA LIAN THONG SHUI KHEU PAK KUNG,水口伯公廟(芒桔頭),Shui Kou Bo Gong (Mang Jie Tou),KAMPUNG MANGGIS,0.895555556,108.9958333,"Jl. P. Natuna, RT 24/10 Kelurahan Pasiran",18,w12,7,Barat (West),,,,,,,,,,,
CETIYA SAM CHIN KIUNG,三清宮(芒桔頭),Shan Qing Gong (Mang Jie Tou),KAMPUNG MANGGIS,0.894722222,108.9952778,"Jl. P. Natuna, RT 24/10 Kelurahan Pasiran",19,w13,8,Barat (West),,,,,,,,,,,
VIHARA SAM CHIN MIAU / FAB ZHU KUNG,三清廟/法主公(蓮堂路),San Qing Miao / Fa Zhu Gong (Lian Tang Lu),JL. P. NATUNA,0.901666667,108.9916667,"Jl. P. Natuna Gg. Sinar No.81, RT 14.06 Kelurahan Pasiran",20,w14,9,Barat (West),,,,,,,,,,,
VIHARA CHIANG LIUNG MIAU,青龙庙(文輝路),Qing Long Miao (Wen Hui Lu),JALAN BUN FUI,0.914166667,108.9852778,"Jl. Bunfui No.047, RT 06/02 Kelurahan Sijangkung",29,w15,6,Barat (West),,,,,,,,,,,
CETIYA MU JAN PAK KONG,墓園伯公庙(義務山),Mu Yuan Bo Gong Miao (Yi Wu Shan),KAWASAN PEMAKAMAN NYI BU SAN,0.893333333,108.995,"Jl. P. Natuna, RT 24/10 Kelurahan Pasiran",31,w16,5,Barat (West),,,,,,,,,,,
CETIYA THAI PAK KUNG KUNG,大伯公公廟(義務山),Da Bo Gong Gong Miao (Yi Wu Shan),KAWASAN PEMAKAMAN NYI BU SAN,0.891388889,108.995,"Jl. P. Natuna, RT 24/10 Kelurahan Pasiran",32,w17,5,Barat (West),,,,,,,,,,,
VIHARA HIAN THIAN SONG TI,玄天上帝廟,Xian Tian Shang Di Miao,JL. GM. SITUT,0.903055556,108.9883333,"Jl. GM. Situt, RT 04/02 Kelurahan Pasiran",33,w18,6,Barat (West),,,,,,,,,,,
CETIYA LUI THIAN CU SHI,老祖天師廟(三叉路),Lao Zu Tian Shi Miao (San Cha Lu),JL. STASIUN,0.902777778,108.9880556,"Jl. Stasiun, RT 04/02 Kelurahan Pasiran",34,w19,5,Barat (West),,,,,,,,,,,
VIHARA THO FAB KIUNG,道法官(蓮堂路),Dao Fa Gong (Lian Tang Lu),JL. P. NATUNA,0.9025,108.99,"Jl. P. Natuna No.22, RT 14/06 Kelurahan Pasiran",35,w20,7,Barat (West),,,,,,,,,,,
VIHARA TRIDHARMA PAK KUNG PAK PHO,大伯公廟(三叉路),Da Bo Gong Miao (San Cha Lu),JL. KRIDASANA,0.895,108.9833333,"Jl. Pelita Gg. Lembah I No.32, RT 27/11 Kelurahan Pasiran",39,w21,6,Barat (West),,,,,,,,,,,
CETIYA SHIN NUNG MIAU / NG KUK JA,神農廟/五谷爷,Shen Nong Miao / Wu Gu Ye,JL. TANI,0.907222222,108.9713889,"Jl. Tani, RT 14/03 Kelurahan Pasiran",40,w22,5,Barat (West),,,,,,,,,,,
CETIYA SAK CHI THAN,石慈壇,Shi Ci Tan,JL. PARIT KETAPANG,0.917222222,108.9855556,"Jl. Parit Ketapang 2, RT 15/03 Kelurahan Melayu",41,w23,5,Barat (West),,,,,,,,,,,
VIHARA THAI PAK KUNG / BUN BU NYIAN SAI,大伯公廟/文武元帥廟,Da Bo Gong Miao / Wen Wu Yuan Shuai,JL. KRIDASANA,0.896944444,108.9877778,"Jl. Kridasana Gg. Setuju, RT 22/09 Kelurahan Pasiran",42,w24,6,Barat (West),,,,,,,,,,,
CETIYA CONG THIAN SHI,張天師廟(公司山),Zhang Tian Shi Miao (Gong Si Shan),JL. P. NATUNA,0.9,108.9947222,"Jl. P. Natuna Gg. Sukses, RT 16/06 Kelurahan Pasiran",46,w25,6,Barat (West),,,,,,,,,,,
CETIYA FO SAN FUT FAB CI KIUN THAN,和善佛法濟君壇(公司山),He Shan Fo Fa Ji Jun Tan (Gong Si Shan),JL. P. NATUNA,0.9,108.9961111,"Jl. P. Natuna, RT 16/06 Kelurahan Pasiran",47,w26,5,Barat (West),,,,,,,,,,,
