"// Altar West raw data""",,,,,,,,,,,,,,,,,,
W57, DATUK TASILI ,,,T," Jl. SM. Tsjafioeddin, Kel. Pasiran ",,,,,,N,0,54,29,82, Foto ,195,West
,,,,, No. ,54, RT ,1, RW ,1,E,108,58,57,27, Pantak , N ,
W58, LI PU NYIAN SAI ,,,T, Jl. SM. Tsjafioeddin Gg. Permata Hijau ,,,,,,N,0,54,26,92, Foto ,196,West
,,,,, No. ,511, RT ,1, RW ,1,E,108,58,56,64, Pantak , N ,
W59, DATUK BANGAU PUTIH ,,,P," Jl. P. Diponegoro Gg. Wisata, Kel. Pasiran ",,,,,,N,0,54,4,68, Foto ,286,West
,,,,, No. ,104, RT ,50, RW ,18,E,108,58,51,4, Pantak , N ,
W60, LIM SAN PAK KUNG ,,,T," Jl. Cimandiri, Kel. Pasiran ",,,,,,N,0,54,15,10, Foto ,206,West
,,,,, No. ,40, RT ,40, RW ,15,E,108,58,26,11, Pantak , N ,
W61, NYUK FUNG SHI THIAN ,,,P," Jl. A. Yani, Kel. Pasiran ",,,,,,N,0,53,28,48, Foto ,111,West
,,,,, No. ,22, RT ,33, RW ,14,E,108,57,56,76, Pantak , N ,
W62, BU MIAN CIONG KIUN ,,,T," Jl. A. Yani Gg. Batu Mas, Kel. Pasiran ",,,,,,N,0,53,30,99, Foto ,109,West
,,,,, No. ,47A, RT ,32, RW ,13,E,108,58,18,52, Pantak , N ,
W63, KIU CHIAN NYIAN SAI ,,,T," Jl. A. Yani Gg. Batu Mas, Kel. Pasiran ",,,,,,N,0,53,30,54, Foto ,108,West
,,,,, No. ,48, RT ,32, RW ,13,E,108,58,17,64, Pantak , N ,
W64, NYIAN SIAN PAK KUNG ,,,T," Jl. A. Yani Gg. Wenang, Kel. Pasiran ",,,,,,N,0,53,25,17, Foto ,110,West
,,,,, No. ,09A, RT ,33, RW ,14,E,108,58,6,86, Pantak , N ,
W65, LUI HIE BONG JA ,,,T," Jl. Gunung Sari Gg. Indah Sari I, Pasiran ",,,,,,N,0,53,32,64, Foto ,107,West
,,,,, No. ,50, RT ,54, RW ,13,E,108,58,28,13, Pantak , Y ,
W66, SAK MA CIONG KIUN ,,,T," Jl. Gunung Sari Gg. Indah Sari I, Pasiran ",,,,,,N,0,53,31,24, Foto ,106,West
,,,,, No. ,51, RT ,54, RW ,13,E,108,58,29,98, Pantak , N ,
W67, JONG KONG SHI KUNG ,,,T," Jl. Gunung Sari Gg. Indah Sari I, Pasiran ",,,,,,N,0,53,31,42, Foto ,105,West
,,,,, No. ,53, RT ,54, RW ,13,E,108,58,30,27, Pantak , N ,
W68, KIM BONG THAI CI ,,,T," Jl. Gunung Sari Gg. Puncak Sari, Pasiran ",,,,,,N,0,53,20,88, Foto ,104,West
