UID,altar_Name,address,village,gps_lat,gps_lon,region,num_photos,photo_ref,pantak
WP104, CHIANG SAN CIONG KIUN ," Jl. GM. Situt Gg. Arjuna, Kel. Pasiran  No. 52, RT 60",Parisan,0.9021555555555556,108.9858611111111,West,,160, Y 
WP105, NG BU THIAN SHI ," Jl. Pelita Gg. Lembah I, Kel. Pasiran  No. 53, RT 27",Parisan,0.8945583333333333,108.984425,West,,97, N 
WP106, LIN SAN PAK KUNG ," Jl. GM. Situt, Kel. Pasiran  No. 11, RT 14",Parisan,0.9034583333333334,108.98878888888889,West,,132, N 
WP107, LIN SAN CU SHI ," Jl. Saman Bujang, Kel. Pasiran  No. 40, RT 58",Parisan,0.90685,108.98873611111111,West,,152, N 
WP108, NG FU THAI CIONG ," Jl. Saman Bujang Gg. Harapan, Pasiran  No. 16, RT 58",Parisan,0.9064444444444445,108.98941388888889,West,,154, N 
WP109, PHAK SI KUNG KUNG ," Jl. Saman Bujang Gg. Senang, Pasiran  No. 39, RT 5",Parisan,0.9051416666666667,108.98892777777777,West,,155, N 
WP110, SAM BONG LIN THAN ," Jl. Saman Bujang Gg. Senang, Pasiran  No. 40, RT 5",Parisan,0.9051333333333333,108.98897222222222,West,,156, N 
WP111, KONG CI CUN BONG ," Jl. Saman Bujang Gg. Senang (Lantai 1) , RT 5",Parisan,0.9045861111111111,108.98903055555556,West,,157, N 
WP112, NAM HOI KON JIM ," Jl. Saman Bujang Gg. Senang (Lantai 2) , RT 5",Parisan,0.9045861111111111,108.98903055555556,West,,158, N 
WP113, FUNG MIAN CIONG KIUN ," Jl. P. Natuna Kampung Manggis, Pasiran , RT 24",Parisan,0.8951944444444444,108.99615833333334,West,,64, N 
WP114, SAU LIM CIONG KIUN ," Jl. P. Natuna Kampung Manggis, Pasiran , RT 24",Parisan,0.894975,108.99651388888888,West,,65, N 
WP115, PHAK MA CIONG KIUN ," Jl. P. Natuna Kampung Manggis, Pasiran , RT 24",Parisan,0.8955833333333333,108.99586944444445,West,,66, N 
