name_indo,name_hanzi,name_pinyin,neighbourhood,gps_lat,gps_lon,address,ref_no
CETIYA FUT HOI THONG,佛海堂(黄泥路),Fo Hai Tang (Huang Ni Lu),JL. KALIMANTAN,0.9075416666666667,108.99509722222223,"Jl. Kalimantan Gg. P4, RT 08/03 Kelurahan Roban",
CETIYA SIAM LO FAB THAN,暹邏法壇(黄泥路),Xian Luo Fa Tan (Huang Ni Lu),JL. KALIMANTAN,0.9082666666666667,108.99393888888889,"Jl. Kalimantan Gg. Tiga, RT 33/07 Kelurahan Condong",
CETIYA THAI PAK KUNG KUNG,大伯公公壇(黄泥路),Da Bo Gong Gong Tan (Huang Ni Lu),JL. KALIMANTAN,0.9074611111111112,108.9931611111111,"Jl. Kalimantan Gg. Tiga, RT 33/07 Kelurahan Condong",48
VIHARA JIU TET FUT THONG,有德佛堂(黄泥路),You De Fo Tang (Huang Ni Lu),JL. KALIMANTAN,0.9088916666666667,108.99406111111111,"Jl. Kalimantan, RT 36/07 Kelurahan Condong",
VIHARA FONG THAI NYIAN SAI / CHOI LAM SHIN,方大元帥廟/菜籃神(黄泥路),Fang Da Yuan Shuai Miao / Cai Lan Shen,JL. KALIMANTAN,0.9093194444444445,108.99305,"Jl. Kalimantan Gg. Satu, RT 32/07 Kelurahan Condong",
KELENTENG THAI PAK KUNG KUNG,大伯公公廟(黄泥路),Da Bai Gong Gong Miao (Huang Ni Lu),JL. HULU / JL. KALIMANTAN,0.9086000000000001,108.99307222222222,"Jl. Hulu, RT 33/07 Kelurahan Condong",49
CETIYA BUN KIUNG FAB,文宮法壇(港尾),Wen Gong Fa Tan (Gang Wei),JL. HULU,0.9083638888888889,108.99261666666666,"Jl. Hulu, RT 32/07 Kelurahan Condong",
VIHARA GITA TRIRATNA,接善堂/齋堂(港尾),Jie Shan Tang / Zhai Tang (Gang Wei),JL. HULU,0.9080166666666667,108.9931611111111,"Jl. Hulu, RT 33/07 Kelurahan Condong",
CETIYA CHAU LIU LIN THAN,趙劉靈壇,Zhao Liu Ling Tan,JL. BUDI UTOMO,0.9092416666666667,108.9898,"Jl. Budi Utomo No.8A, RT 23/05 Kelurahan Condong",
ALTAR KELUARGA TJHIA,謝恊勝祖屋壇,Xie Xie Sheng Zu Wu Tan,KAWASAN TRADISIONAL,0.9103055555555556,108.99024722222222,"Jl. Budi Utomo, RT 23/05 Kelurahan Condong",
YAYASAN DHARMA SUCI MULIA,五福真君廟,Wu Fu Zhen Jun Miao,JL. PEMUDA,0.9109694444444445,108.99082222222222,"Jl. Pemuda Gg. Tabrani H. Ahmad, RT 22/05 Kelurahan Condong",
CETIYA CHO FUK KIUNG,坐福宮,Zuo Fu Gong,JL. PEMUDA,0.9105361111111111,108.99098333333333,"Jl. Pemuda Gg. Tabrani H. Ahmad, RT 22/05 Kelurahan Condong",
CETIYA LIM PAK KUNG,林伯公壇(海望),Lin Bo Gong Tan (Hai Wang),MUARA KUALA,0.920286111111111,108.96606944444444,"Kawasan Terminal Induk, RT 14/05 Kelurahan Sei. Wie",
VIHARA NAM TEU SEN KIUN,南斗星君廟(頭條港),Nan Dou Xing Jun Miao (Tou Tiao Gang),SEI. WIE,0.9236333333333333,108.98929444444444,"Jl. Tani Gg. Setia Negara, RT 03/01 Kelurahan Sei. Wie",
CETIYA SAM THAI THIAN BONG,三大天王壇(頭條港),San Da Tian Wang Tan (Tou Tiao Gang),SEI. WIE,0.9225138888888889,108.98978611111112,"Jl. Cempaka, RT 03/01 Kelurahan Sei. Wie",
CETIYA THAI PAK KUNG KUNG,大伯公公壇(頭條港),Da Bo Gong Gong Tan (Tou Tiao Gang),SEI. WIE,0.926611111111111,108.99138055555555,"Jl. Cempaka, RT 03/01 Kelurahan Sei. Wie",
VIHARA SAM CHIN MIAU / FAB ZHU KUNG,三清庙/法主公(莲堂路),San Qing Miao / Fa Zhu Gong (Lian Tang Lu),JL. P. NATUNA,0.9018027777777778,108.99178888888889,"Jl. P. Natuna Gg. Sinar No.81, RT 14.06 Kelurahan Pasiran",
